ManagementIssue,Trades,NetPnL,AvgR,AvgExitScore24h,AvgExitMissed24hR,BadExitPct,BadTradePct
none,255,2864.77,0.10133333333333333,57.13034781616538,1.2543272714480573,10.588235294117647,40.78431372549019
trailing,110,785.91,0.11036363636363646,17.492232769319347,2.6645911474317225,100.0,100.0
broker_trailing_failures,86,1836.48,0.3145348837209303,69.91636160293416,0.9049695467439841,0.0,39.53488372093023
breakeven,28,2214.11,0.9585714285714285,17.997840868817004,2.1601027272664024,100.0,100.0
anti_stall,3,38.1,0.1366666666666667,66.76292043227505,1.0643662359191344,0.0,33.333333333333336
