Year,Trades,ReportNetProfit,StatsNetPnL,GoldReturnPct,GoldRangePct,AvgEntryFollowthrough24h,AvgEntryFavorable24hR,AvgEntryAdverse24hR,AvgExitScore24h,AvgExitMissed24hR,BadEntryPct,BadExitPct,BadTradePct,CountertrendShortLosses,TrailingTrades,BreakevenTrades,RunnerManagedTrades,RunnerPromotedTrades,RunnerManagedPct,AntiStallTrades,ReportSLPct,ReportTPPct,LongTrades,ShortTrades,BadEntryBadExitTrades,GoodTrades
2020,63,619.75,560.34,24.546459158301875,41.02850828147815,50.27087307204365,1.2953350687806422,1.448267692797165,51.68935859050587,1.1906802315408451,34.92063492063492,26.984126984126984,60.317460317460316,0,51,15,27,5,42.857142857142854,0,69.84126984126983,25.396825396825395,52,11,1,8
2021,89,743.54,764.21,-4.249189395883854,14.796209672772608,54.149257410820304,1.775739932553753,1.5215691560393858,49.1848101884832,1.6737745826302566,34.831460674157306,37.07865168539326,61.79775280898876,9,78,6,16,0,17.97752808988764,0,59.550561797752806,38.20224719101124,24,65,9,14
2022,99,1290.2,1312.43,-0.3512451997399837,24.881598138345826,51.599628272935995,1.7228436793595658,1.5391049497866656,50.355211355084045,1.6003773085479585,34.343434343434346,31.31313131313131,59.5959595959596,7,84,7,29,0,29.292929292929294,1,60.60606060606061,36.36363636363637,27,72,6,15
2023,84,1376.07,1398.15,12.925866514833823,18.618503533946136,55.018165412640506,1.35620710533645,1.1538097031739478,47.749589092631496,1.2635861480002324,30.952380952380953,34.523809523809526,55.95238095238095,3,77,11,28,2,33.333333333333336,0,77.38095238095238,22.61904761904762,56,28,8,15
2024,80,1244.86,1261.78,27.228526692875615,39.0739295461266,55.01968364200049,1.579524767276707,1.2622437490849072,46.84989992994717,1.5743789082848512,23.75,36.25,55.0,0,63,19,33,2,41.25,3,73.75,22.5,63,17,4,9
2025,67,2429.32,2442.46,64.54154727793696,73.75594403462782,63.89489216417198,2.3810539174792766,1.4480154635460372,41.11287612483957,2.147399842613234,16.417910447761194,38.80597014925373,50.74626865671642,0,51,20,28,2,41.791044776119406,0,55.223880597014926,40.298507462686565,53,14,3,13
