Year,Pattern,Trades,NetPnL,AvgR,WinRatePct,BadEntryPct,BadExitPct,BadTradePct,AvgEntry24hR,AvgAdverse24hR,AvgExitMissed24hR,AvgExitScore24h,TrailingTradePct,BreakevenTradePct,RunnerManagedPct
2020,Bullish Engulfing (Confirmed),26,71.96,0.06576923076923077,38.46153846153846,30.76923076923077,23.076923076923077,53.84615384615385,0.9863678105589315,1.2488408112027154,1.0840382202651428,48.8886957268797,88.46153846153847,26.923076923076923,69.23076923076923
2020,Bullish Pin Bar (Confirmed),25,342.03,0.19799999999999998,52.0,32.0,32.0,60.0,1.5130610371990627,1.4456326211369939,1.2175154813337854,54.115616072702124,80.0,32.0,20.0
2020,Bearish Pin Bar,8,203.2,0.27749999999999997,50.0,37.5,25.0,62.5,2.06182622354498,2.120925925925941,1.7405820105820171,51.337498748484734,50.0,0.0,50.0
2020,BB Mean Reversion Short,1,6.65,0.17,100.0,100.0,0.0,100.0,0.5797872340425413,2.708776595744673,0.39893617021276695,87.86898503841478,100.0,0.0,0.0
2020,Bullish MA Cross (Confirmed),1,-34.7,-0.5,0.0,100.0,0.0,100.0,0.38512035010940615,0.8132749817651228,0.7199124726476925,44.92187500000083,100.0,0.0,0.0
2020,Pullback Continuation SHORT (PB=1.3xATR; 4 bars; C1),1,-10.98,-0.37,0.0,0.0,100.0,100.0,0.5204386839481596,0.6889332003987909,1.0648055832502359,11.95383347073421,100.0,0.0,0.0
2020,Pullback Continuation SHORT (PB=1.8xATR; 4 bars; C1),1,-17.82,-0.47,0.0,100.0,0.0,100.0,0.1540642722117316,1.4517958412098304,0.28166351606805656,76.98841698841653,100.0,0.0,0.0
2021,Rubber Band Short (Death Cross),49,355.35,0.17306122448979594,51.02040816326531,40.816326530612244,38.775510204081634,65.3061224489796,1.9488798726545826,1.9667167893913369,1.8050231480325847,51.32566702092993,91.83673469387755,0.0,0.0
2021,Bullish Engulfing (Confirmed),12,352.72,0.35166666666666674,58.333333333333336,16.666666666666668,25.0,41.666666666666664,1.5704568260508325,0.7631643428945983,1.0840864804010382,57.84513473417572,91.66666666666667,33.333333333333336,58.333333333333336
2021,Bearish Pin Bar,11,2.86,0.07454545454545453,45.45454545454545,45.45454545454545,54.54545454545455,81.81818181818181,2.312282753028436,1.4583916577162954,2.598112713272743,41.686113158795365,63.63636363636363,0.0,72.72727272727273
2021,Bullish Pin Bar (Confirmed),11,-155.01,-0.13454545454545455,36.36363636363637,36.36363636363637,18.181818181818183,54.54545454545455,0.9182118328881518,1.0338682712355,0.9750606376698777,48.279789238814786,81.81818181818181,9.090909090909092,0.0
2021,BB Mean Reversion Short,2,41.14,0.52,100.0,0.0,50.0,50.0,1.3792118104136322,0.4356766647780507,2.300346599909843,20.782709592108326,100.0,0.0,0.0
2021,Bullish MA Cross (Confirmed),1,115.06,1.19,100.0,0.0,100.0,100.0,2.5688689809630083,0.0,1.04815229563268,15.29411764705938,100.0,100.0,100.0
2021,Pullback Continuation SHORT (PB=1.4xATR; 4 bars; C1),1,33.89,0.35,100.0,0.0,0.0,0.0,0.8500000000000137,0.6409090909090853,0.5628787878788004,62.6820693119034,100.0,0.0,0.0
2021,Pullback Continuation SHORT (PB=1.5xATR; 8 bars; C1),1,-9.35,-0.14,0.0,0.0,100.0,100.0,1.05835543766579,0.44297082228116846,1.287356321839102,17.87930062041648,100.0,0.0,0.0
2021,Pullback Continuation SHORT (PB=1.7xATR; 9 bars; C1),1,27.55,0.43,100.0,0.0,0.0,0.0,0.929169840060941,0.5224676313785196,0.706778370144711,41.30297280202401,100.0,0.0,0.0
2022,Rubber Band Short (Death Cross),44,142.94,0.13590909090909092,52.27272727272727,50.0,31.818181818181817,68.18181818181819,1.7760046073225675,1.9724051568849803,1.9040300996600694,52.462541006706154,88.63636363636364,0.0,0.0
2022,Bearish Pin Bar,22,453.81,0.20454545454545456,50.0,18.181818181818183,36.36363636363637,54.54545454545455,1.8656249999999994,1.178409090909094,1.581761363636363,46.23138606294204,63.63636363636363,4.545454545454546,77.27272727272727
2022,Bullish Engulfing (Confirmed),13,281.65,0.2761538461538461,46.15384615384615,23.076923076923077,15.384615384615385,38.46153846153846,1.8371499874415254,1.202963622414645,1.3138090407879375,55.43896993705705,92.3076923076923,15.384615384615385,84.61538461538461
2022,Bullish Pin Bar (Confirmed),8,312.15,0.45625000000000004,50.0,12.5,50.0,62.5,2.0536363661563284,0.9547533530812868,1.5496810554158575,41.283099793584626,87.5,37.5,0.0
2022,BB Mean Reversion Short,2,-85.96,-1.0,0.0,100.0,0.0,100.0,0.3861615681725722,3.4702635833014965,0.5859160013327122,80.16480282519194,100.0,0.0,0.0
2022,S6: Failed Break Long,2,35.94,0.21,50.0,50.0,0.0,50.0,1.3761354846217577,2.0927058589979843,0.9487705619407929,72.25925234774857,100.0,50.0,0.0
2022,Bullish MA Cross (Confirmed),1,35.32,0.35,100.0,0.0,0.0,0.0,1.1759180187873788,0.7711357813834432,1.0256191289496317,0.0,100.0,0.0,100.0
