Time,Ticket,SignalID,Pattern,Direction,Stage,EventType,EventReason,Detail,EntryPrice,RequestedEntryPrice,ExecutedEntryPrice,EventPrice,OldSL,NewSL,OriginalSL,OriginalTP1,TP2,RiskDistance,RiskMoney,OriginalLots,RemainingLots,CloseLots,EventPnL,PartialRealizedPnL,TotalRealizedPnL,CurrentR,MAE_R,MFE_R,AtBreakeven,TP0Closed,TP1Closed,TP2Closed,PartialCloseCount,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,MaxLockedR,Regime,Session,EngineName,EngineMode,DayType,BETime,ExitRequestTime,ExitRequestReason,ExitRequestPrice,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
2022.01.04 14:00:00,2,2022.01.04 14:00|ReversalSweepEngine|SHORT|3,LiquiditySweep | Bearish Liquidity Sweep,SHORT,INITIAL,ENTRY_OPENED,LiquiditySweep | Bearish Liquidity Sweep,risk=$43.59 | requested=1804.04 | fill=1804.04,1804.04,1804.04,1804.04,1804.04,1810.08,1810.08,1810.08,1791.94,1788.93,6.04,43.59,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2022.01.04 14:23:40,2,2022.01.04 14:00|ReversalSweepEngine|SHORT|3,LiquiditySweep | Bearish Liquidity Sweep,SHORT,TP0_HIT,TP0_PARTIAL,TP0,,1804.04,1804.04,1804.04,1799.43,1810.08,1810.08,1810.08,1791.94,1788.93,6.04,43.59,0.07,0.06,0.01,4.58,4.58,4.58,0.76,0.18,0.76,NO,YES,NO,NO,1,0,0,0,0.00,TRENDING,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.50,
2022.01.04 15:00:00,2,2022.01.04 14:00|ReversalSweepEngine|SHORT|3,LiquiditySweep | Bearish Liquidity Sweep,SHORT,TP0_HIT,TRAIL_INTERNAL,Chandelier Trail: SL=1807.53 (ATRx3.0),,1804.04,1804.04,1804.04,1801.27,1810.08,1807.53,1810.08,1791.94,1788.93,6.04,43.59,0.07,0.06,0.00,0.00,4.58,4.58,0.46,0.18,0.91,NO,YES,NO,NO,1,1,0,0,0.00,TRENDING,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.50,
2022.01.04 15:00:00,2,2022.01.04 14:00|ReversalSweepEngine|SHORT|3,LiquiditySweep | Bearish Liquidity Sweep,SHORT,TP0_HIT,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1807.53 (ATRx3.0),1804.04,1804.04,1804.04,1801.27,1810.08,1807.53,1810.08,1791.94,1788.93,6.04,43.59,0.07,0.06,0.00,0.00,4.58,4.58,0.46,0.18,0.91,NO,YES,NO,NO,1,1,1,0,0.00,TRENDING,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.50,2022.01.04 15:00
2022.01.04 16:00:40,2,2022.01.04 14:00|ReversalSweepEngine|SHORT|3,LiquiditySweep | Bearish Liquidity Sweep,SHORT,TP0_HIT,EXIT_FILL,,runner=$-21.12 | partials=$4.58 | total=$-16.54 | result=LOSS,1804.04,1804.04,1804.04,1807.53,1807.53,1807.53,1810.08,1791.94,1788.93,6.04,43.59,0.07,0.06,0.06,-21.12,4.58,-16.54,-0.58,0.55,0.91,NO,YES,NO,NO,1,1,1,0,0.00,TRENDING,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2022.01.04 15:00
2022.01.06 08:00:00,5,2022.01.06 08:00|ExpansionEngine|SHORT|10,Asian Breakout London,SHORT,INITIAL,ENTRY_OPENED,Asian Breakout London,risk=$69.63 | requested=1803.04 | fill=1803.04,1803.04,1803.04,1803.04,1803.04,1812.05,1812.05,1812.05,1785.02,1786.82,9.01,69.63,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,ExpansionEngine,MODE_LONDON_BREAKOUT,DAY_VOLATILE,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
2022.01.06 10:00:00,5,2022.01.06 08:00|ExpansionEngine|SHORT|10,Asian Breakout London,SHORT,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1810.27 (ATRx3.0),,1803.04,1803.04,1803.04,1801.03,1812.05,1810.27,1812.05,1785.02,1786.82,9.01,69.63,0.07,0.07,0.00,0.00,0.00,0.00,0.22,0.09,0.39,NO,NO,NO,NO,0,1,0,0,0.00,TRENDING,ASIA,ExpansionEngine,MODE_LONDON_BREAKOUT,DAY_VOLATILE,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
2022.01.06 10:00:00,5,2022.01.06 08:00|ExpansionEngine|SHORT|10,Asian Breakout London,SHORT,INITIAL,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1810.27 (ATRx3.0),1803.04,1803.04,1803.04,1801.03,1812.05,1810.27,1812.05,1785.02,1786.82,9.01,69.63,0.07,0.07,0.00,0.00,0.00,0.00,0.22,0.09,0.39,NO,NO,NO,NO,0,1,1,0,0.00,TRENDING,ASIA,ExpansionEngine,MODE_LONDON_BREAKOUT,DAY_VOLATILE,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,2022.01.06 10:00
2022.01.06 10:27:40,5,2022.01.06 08:00|ExpansionEngine|SHORT|10,Asian Breakout London,SHORT,TP0_HIT,TP0_PARTIAL,TP0,,1803.04,1803.04,1803.04,1796.51,1810.27,1810.27,1812.05,1785.02,1786.82,9.01,69.63,0.07,0.06,0.01,6.50,6.50,6.50,0.72,0.09,0.72,NO,YES,NO,NO,1,1,1,0,0.00,TRENDING,ASIA,ExpansionEngine,MODE_LONDON_BREAKOUT,DAY_VOLATILE,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,2022.01.06 10:00
2022.01.06 11:00:00,5,2022.01.06 08:00|ExpansionEngine|SHORT|10,Asian Breakout London,SHORT,TP0_HIT,TRAIL_INTERNAL,Chandelier Trail: SL=1806.60 (ATRx3.0),,1803.04,1803.04,1803.04,1795.47,1810.27,1806.60,1812.05,1785.02,1786.82,9.01,69.63,0.07,0.06,0.00,0.00,6.50,6.50,0.84,0.09,0.92,NO,YES,NO,NO,1,2,1,0,0.00,TRENDING,ASIA,ExpansionEngine,MODE_LONDON_BREAKOUT,DAY_VOLATILE,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,2022.01.06 10:00
