Time,Ticket,SignalID,Pattern,Direction,Stage,EventType,EventReason,Detail,EntryPrice,RequestedEntryPrice,ExecutedEntryPrice,EventPrice,OldSL,NewSL,OriginalSL,OriginalTP1,TP2,RiskDistance,RiskMoney,OriginalLots,RemainingLots,CloseLots,EventPnL,PartialRealizedPnL,TotalRealizedPnL,CurrentR,MAE_R,MFE_R,AtBreakeven,TP0Closed,TP1Closed,TP2Closed,PartialCloseCount,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,MaxLockedR,Regime,Session,EngineName,EngineMode,DayType,BETime,ExitRequestTime,ExitRequestReason,ExitRequestPrice,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
2021.01.04 04:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,INITIAL,ENTRY_OPENED,Bullish Pin Bar (Confirmed),risk=$146.47 | requested=1916.69 | fill=1916.69,1916.69,1916.69,1916.69,1916.69,1905.86,1905.86,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2021.01.04 05:39:40,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP0_HIT,TP0_PARTIAL,TP0,,1916.69,1916.69,1916.69,1924.62,1905.86,1905.86,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.12,0.01,7.90,7.90,7.90,0.73,0.11,0.73,NO,YES,NO,NO,1,0,0,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.50,
2021.01.04 08:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP0_HIT,TRAIL_INTERNAL,Chandelier Trail: SL=1907.18 (ATRx3.5),,1916.69,1916.69,1916.69,1921.69,1905.86,1907.18,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.12,0.00,0.00,7.90,7.90,0.46,0.11,0.80,NO,YES,NO,NO,1,1,0,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2021.01.04 08:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP0_HIT,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1907.18 (ATRx3.5),1916.69,1916.69,1916.69,1921.69,1905.86,1907.18,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.12,0.00,0.00,7.90,7.90,0.46,0.11,0.80,NO,YES,NO,NO,1,1,1,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2021.01.04 08:00
2021.01.04 09:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP0_HIT,TRAIL_INTERNAL,Chandelier Trail: SL=1907.96 (ATRx3.5),,1916.69,1916.69,1916.69,1922.93,1907.18,1907.96,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.12,0.00,0.00,7.90,7.90,0.58,0.11,0.82,NO,YES,NO,NO,1,2,1,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2021.01.04 08:00
2021.01.04 09:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP0_HIT,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1907.96 (ATRx3.5),1916.69,1916.69,1916.69,1922.93,1907.18,1907.96,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.12,0.00,0.00,7.90,7.90,0.58,0.11,0.82,NO,YES,NO,NO,1,2,2,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2021.01.04 09:00
2021.01.04 10:23:40,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP1_HIT,TP1_PARTIAL,TP1,,1916.69,1916.69,1916.69,1933.17,1907.96,1907.96,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.08,0.04,65.80,73.70,73.70,1.52,0.11,1.52,NO,YES,YES,NO,2,2,2,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2021.01.04 09:00
2021.01.04 11:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP1_HIT,TRAIL_INTERNAL,Chandelier Trail: SL=1916.20 (ATRx3.5),,1916.69,1916.69,1916.69,1932.15,1907.96,1916.20,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.08,0.00,0.00,73.70,73.70,1.43,0.11,1.71,NO,YES,YES,NO,2,3,2,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2021.01.04 09:00
2021.01.04 11:00:00,2,2021.01.04 03:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,TP1_HIT,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1916.20 (ATRx3.5),1916.69,1916.69,1916.69,1932.15,1907.96,1916.20,1905.86,1959.20,1964.61,10.83,146.47,0.13,0.08,0.00,0.00,73.70,73.70,1.43,0.11,1.71,NO,YES,YES,NO,2,3,3,0,0.00,TRENDING,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2021.01.04 11:00
2021.01.04 14:00:00,5,2021.01.04 13:00|PinBarEntry|LONG|2,Bullish Pin Bar (Confirmed),LONG,INITIAL,ENTRY_OPENED,Bullish Pin Bar (Confirmed),risk=$147.54 | requested=1933.62 | fill=1933.62,1933.62,1933.62,1933.62,1933.62,1926.09,1926.09,1926.09,1957.27,1975.00,7.53,147.54,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,LONDON,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
