Time,Ticket,SignalID,Pattern,Direction,Stage,EventType,EventReason,Detail,EntryPrice,RequestedEntryPrice,ExecutedEntryPrice,EventPrice,OldSL,NewSL,OriginalSL,OriginalTP1,TP2,RiskDistance,RiskMoney,OriginalLots,RemainingLots,CloseLots,EventPnL,PartialRealizedPnL,TotalRealizedPnL,CurrentR,MAE_R,MFE_R,AtBreakeven,TP0Closed,TP1Closed,TP2Closed,PartialCloseCount,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,MaxLockedR,Regime,Session,EngineName,EngineMode,DayType,BETime,ExitRequestTime,ExitRequestReason,ExitRequestPrice,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
2023.01.03 06:00:00,2,2023.01.03 05:00|EngulfingEntry|LONG|1,Bullish Engulfing (Confirmed),LONG,INITIAL,ENTRY_OPENED,Bullish Engulfing (Confirmed),risk=$146.47 | requested=1841.29 | fill=1841.29,1841.29,1841.29,1841.29,1841.29,1827.73,1827.73,1827.73,1897.04,1903.82,13.56,146.47,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.03 10:00:00,3,2023.01.03 09:00|EngulfingEntry|LONG|10,Bullish Engulfing (Confirmed),LONG,INITIAL,ENTRY_OPENED,Bullish Engulfing (Confirmed),risk=$146.47 | requested=1847.62 | fill=1847.62,1847.62,1847.62,1847.62,1847.62,1834.76,1834.76,1834.76,1889.93,1921.67,12.86,146.47,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.03 10:00:00,4,2023.01.03 10:00|CrashBreakoutEntry|SHORT|13,Rubber Band Short (Death Cross),SHORT,INITIAL,ENTRY_OPENED,Rubber Band Short (Death Cross),risk=$87.18 | requested=1847.52 | fill=1847.52,1847.52,1847.52,1847.52,1847.52,1854.63,1854.63,1854.63,1832.02,1834.73,7.11,87.18,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,CrashBreakoutEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.03 10:00:00,2,2023.01.03 05:00|EngulfingEntry|LONG|1,Bullish Engulfing (Confirmed),LONG,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1833.34 (ATRx3.5),,1841.29,1841.29,1841.29,1847.52,1827.73,1833.34,1827.73,1897.04,1903.82,13.56,146.47,0.10,0.10,0.00,0.00,0.00,0.00,0.46,0.25,0.64,NO,NO,NO,NO,0,1,0,0,0.00,TRENDING,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.03 10:00:00,2,2023.01.03 05:00|EngulfingEntry|LONG|1,Bullish Engulfing (Confirmed),LONG,INITIAL,TRAIL_BROKER_OK,EVERY_UPDATE,Chandelier Trail: SL=1833.34 (ATRx3.5),1841.29,1841.29,1841.29,1847.52,1827.73,1833.34,1827.73,1897.04,1903.82,13.56,146.47,0.10,0.10,0.00,0.00,0.00,0.00,0.46,0.25,0.64,NO,NO,NO,NO,0,1,1,0,0.00,TRENDING,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2023.01.03 10:00
2023.01.03 10:00:40,4,2023.01.03 10:00|CrashBreakoutEntry|SHORT|13,Rubber Band Short (Death Cross),SHORT,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1831.13 (ATRx3.5),,1847.52,1847.52,1847.52,1846.97,1854.63,1831.13,1854.63,1832.02,1834.73,7.11,87.18,0.12,0.12,0.00,0.00,0.00,0.00,0.08,0.07,0.08,NO,NO,NO,NO,0,1,0,0,2.31,TRENDING,ASIA,CrashBreakoutEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.03 10:00:40,4,2023.01.03 10:00|CrashBreakoutEntry|SHORT|13,Rubber Band Short (Death Cross),SHORT,INITIAL,TRAIL_BROKER_FAIL,EVERY_UPDATE,Invalid stops,1847.52,1847.52,1847.52,1846.97,1854.63,1831.13,1854.63,1832.02,1834.73,7.11,87.18,0.12,0.12,0.00,0.00,0.00,0.00,0.08,0.07,0.08,NO,NO,NO,NO,0,1,0,1,2.31,TRENDING,ASIA,CrashBreakoutEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,
2023.01.03 10:09:40,4,2023.01.03 10:00|CrashBreakoutEntry|SHORT|13,Rubber Band Short (Death Cross),SHORT,TP0_HIT,TP0_PARTIAL,TP0,,1847.52,1847.52,1847.52,1842.39,1831.13,1831.13,1854.63,1832.02,1834.73,7.11,87.18,0.12,0.11,0.01,5.10,5.10,5.10,0.72,0.07,0.72,NO,YES,NO,NO,1,1,0,1,2.31,TRENDING,ASIA,CrashBreakoutEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,
2023.01.03 10:36:20,4,2023.01.03 10:00|CrashBreakoutEntry|SHORT|13,Rubber Band Short (Death Cross),SHORT,TP1_HIT,TP1_PARTIAL,TP1,,1847.52,1847.52,1847.52,1836.74,1831.13,1831.13,1854.63,1832.02,1834.73,7.11,87.18,0.12,0.07,0.04,43.00,48.10,48.10,1.52,0.07,1.52,NO,YES,YES,NO,2,1,0,1,2.31,TRENDING,ASIA,CrashBreakoutEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,
2023.01.03 10:55:40,3,2023.01.03 09:00|EngulfingEntry|LONG|10,Bullish Engulfing (Confirmed),LONG,INITIAL,EXIT_FILL,,runner=$-141.79 | partials=$0.00 | total=$-141.79 | result=LOSS,1847.62,1847.62,1847.62,1834.76,1834.76,1834.76,1834.76,1889.93,1921.67,12.86,146.47,0.11,0.11,0.11,-141.79,0.00,-141.79,-1.00,0.99,0.02,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.03 13:01:40,2,2023.01.03 05:00|EngulfingEntry|LONG|1,Bullish Engulfing (Confirmed),LONG,INITIAL,EXIT_FILL,,runner=$-79.80 | partials=$0.00 | total=$-79.80 | result=LOSS,1841.29,1841.29,1841.29,1833.34,1833.34,1833.34,1827.73,1897.04,1903.82,13.56,146.47,0.10,0.10,0.10,-79.80,0.00,-79.80,-0.59,0.56,0.64,NO,NO,NO,NO,0,1,1,0,0.00,TRENDING,ASIA,EngulfingEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,2023.01.03 10:00
2023.01.03 13:15:40,4,2023.01.03 10:00|CrashBreakoutEntry|SHORT|13,Rubber Band Short (Death Cross),SHORT,TP_HIT,EXIT_FILL,,runner=$108.29 | partials=$48.10 | total=$156.39 | result=WIN,1847.52,1847.52,1847.52,1832.02,1831.13,1831.13,1854.63,1832.02,1834.73,7.11,87.18,0.12,0.07,0.07,108.29,48.10,156.39,2.18,0.07,2.09,NO,YES,YES,NO,2,1,0,1,2.31,TRENDING,ASIA,CrashBreakoutEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.50,3.50,3.50,
2023.01.03 20:00:00,10,2023.01.03 19:00|PinBarEntry|LONG|16,Bullish Pin Bar (Confirmed),LONG,INITIAL,ENTRY_OPENED,Bullish Pin Bar (Confirmed),risk=$72.75 | requested=1839.29 | fill=1839.29,1839.29,1839.29,1839.29,1839.29,1827.06,1827.06,1827.06,1887.30,1893.42,12.23,72.75,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NO,NO,NO,NO,0,0,0,0,0.00,TRENDING,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
2023.01.04 03:18:40,10,2023.01.03 19:00|PinBarEntry|LONG|16,Bullish Pin Bar (Confirmed),LONG,INITIAL,TRAIL_INTERNAL,Chandelier Trail: SL=1830.58 (ATRx3.5),,1839.29,1839.29,1839.29,1840.11,1827.06,1830.58,1827.06,1887.30,1893.42,12.23,72.75,0.05,0.05,0.00,0.00,0.00,0.00,0.07,0.27,0.08,NO,NO,NO,NO,0,1,0,0,0.00,TRENDING,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,,,,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
