RowType,Ticket,SignalID,Pattern,Direction,Source,Regime,Quality,Session,EngineName,EngineMode,DayType,Confluence,Spread,Slippage,ConfirmationUsed,BarTime,EntryTime,EntryPrice,OriginalSL,CurrentSL,OriginalTP1,TP2,RiskPct,LotSize,RiskDistance,RequestedEntryPrice,ExecutedEntryPrice,EntryBalance,EntryRiskMoney,OriginalLots,RemainingLots,Stage,ExitRegimeClass,ExitBETrigger,ExitChandelier,ExitTP0Dist,ExitTP0Vol,ExitTP1Dist,ExitTP1Vol,ExitTP2Dist,ExitTP2Vol,ExitTime,ExitPrice,PnL_Money,PnL_R,HoldingHours,MAE,MFE,MAE_R,MFE_R,PartialCloseCount,PartialRealized_PnL,PartialRealized_R,TP0_Time,TP1_Time,TP1_Lots,TP1_PnL,TP2_Time,TP2_Lots,TP2_PnL,BE_Time,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,LastTrailTime,LastTrailReason,MaxLockedR,ExitRequestTime,ExitRequestReason,ExitRequestPrice,ExitReason,Result,Runner_PnL,Runner_R,TP0_PnL,TP0_R,Total_PnL,Total_R,WouldBeFlatWithoutTP0,Reached05R,Reached10R,PeakR_BeforeBE,BE_Before_TP1,TP0_Closed,TP0_Lots,EarlyExit,EarlyExitReason,LossAvoided_R,LossAvoided_Money,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
ENTRY,2,2024.01.02 05:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,8.00,0.00,YES,2024.01.02 06:00,2024.01.02 06:00,2069.76,2059.70,2059.70,2083.13,2093.15,0.59,0.05,10.06,2069.76,2069.76,9999.85,58.59,0.05,0.05,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,2,2024.01.02 05:00|PinBarEntry|LONG|1,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,8.00,0.00,YES,2024.01.02 06:00,2024.01.02 06:00,2069.76,2059.70,2068.49,2083.13,2093.15,0.59,0.05,10.06,2069.76,2069.76,9999.85,58.59,0.05,0.04,TP0_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2024.01.02 13:45,2068.49,1.89,0.03,7.8,1.24,9.08,0.12,0.90,1,7.09,0.12,2024.01.02 11:35,,0.00,0.00,,0.00,0.00,,4,4,0,2024.01.02 12:00,Chandelier Trail: SL=2068.49 (ATRx3.0),0.00,,,0.00,,WIN,-5.20,-0.09,7.09,0.12,1.89,0.03,YES,YES,NO,0.90,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,2024.01.02 12:00
ENTRY,5,2024.01.04 11:00|ReversalSweepEngine|SHORT|5,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 11:00,2024.01.04 11:00,2046.60,2051.36,2051.36,2030.62,2034.70,0.40,0.08,4.76,2046.60,2046.60,10001.50,40.11,0.08,0.08,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
ENTRY,6,2024.01.04 12:00|ReversalSweepEngine|SHORT|6,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 12:00,2024.01.04 12:00,2047.96,2052.82,2052.82,2030.62,2035.82,0.40,0.08,4.86,2047.96,2047.96,10001.26,40.11,0.08,0.08,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
ENTRY,7,2024.01.04 13:00|ReversalSweepEngine|SHORT|7,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 13:00,2024.01.04 13:00,2047.90,2052.55,2052.55,2030.62,2036.29,0.40,0.08,4.64,2047.90,2047.90,10001.02,40.11,0.08,0.08,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
ENTRY,8,2024.01.04 14:00|ReversalSweepEngine|SHORT|8,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 14:00,2024.01.04 14:00,2045.12,2052.46,2052.46,2030.62,2026.77,0.35,0.04,7.34,2045.12,2045.12,10000.90,34.88,0.04,0.04,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,8,2024.01.04 14:00|ReversalSweepEngine|SHORT|8,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 14:00,2024.01.04 14:00,2045.12,2052.46,2045.36,2030.62,2026.77,0.35,0.04,7.34,2045.12,2045.12,10000.90,34.88,0.04,0.04,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2024.01.04 14:10,2045.36,-1.08,-0.03,0.2,0.57,1.70,0.08,0.23,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,1,1,0,2024.01.04 14:04,Chandelier Trail: SL=2045.36 (ATRx3.0),0.00,,,0.00,,LOSS,-1.08,-0.03,0.00,0.00,-1.08,-0.03,NO,NO,NO,0.23,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,2024.01.04 14:04
EXIT,7,2024.01.04 13:00|ReversalSweepEngine|SHORT|7,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 13:00,2024.01.04 13:00,2047.90,2052.55,2038.96,2030.62,2036.29,0.40,0.08,4.64,2047.90,2047.90,10001.02,40.11,0.08,0.03,TP_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2024.01.05 15:30,2030.62,84.75,2.11,26.5,0.59,11.51,0.13,2.48,3,32.19,0.80,2024.01.04 14:04,2024.01.04 15:32,0.03,19.92,2024.01.04 15:42,0.01,8.87,,1,0,1,2024.01.04 13:04,Chandelier Trail: SL=2038.96 (ATRx3.0),1.92,,,0.00,,WIN,52.56,1.31,3.40,0.08,84.75,2.11,NO,YES,YES,2.48,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,
EXIT,6,2024.01.04 12:00|ReversalSweepEngine|SHORT|6,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 12:00,2024.01.04 12:00,2047.96,2052.82,2038.96,2030.62,2035.82,0.40,0.08,4.86,2047.96,2047.96,10001.26,40.11,0.08,0.03,TP_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2024.01.05 15:30,2030.62,85.23,2.12,27.5,2.89,11.57,0.60,2.38,3,32.49,0.81,2024.01.04 14:04,2024.01.04 15:32,0.03,20.10,2024.01.04 15:42,0.01,8.93,,2,0,2,2024.01.04 13:04,Chandelier Trail: SL=2038.96 (ATRx3.0),1.85,,,0.00,,WIN,52.74,1.31,3.46,0.09,85.23,2.12,NO,YES,YES,2.38,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,
EXIT,5,2024.01.04 11:00|ReversalSweepEngine|SHORT|5,LiquiditySweep | Bearish Liquidity Sweep,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,LONDON,ReversalSweepEngine,MODE_SFP,DAY_TREND,85,8.00,0.00,NO,2024.01.04 11:00,2024.01.04 11:00,2046.60,2051.36,2039.36,2030.62,2034.70,0.40,0.08,4.76,2046.60,2046.60,10001.50,40.11,0.08,0.03,TP_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2024.01.05 15:30,2030.62,81.35,2.03,28.5,4.46,10.21,0.94,2.14,3,32.69,0.81,2024.01.04 15:21,2024.01.04 15:40,0.03,20.22,2024.01.04 16:06,0.01,8.55,,1,0,1,2024.01.04 13:53,Chandelier Trail: SL=2039.36 (ATRx3.0),1.52,,,0.00,,WIN,48.66,1.21,3.92,0.10,81.35,2.03,NO,YES,YES,2.14,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,EVERY_UPDATE,3.00,3.00,3.00,
