RowType,Ticket,SignalID,Pattern,Direction,Source,Regime,Quality,Session,EngineName,EngineMode,DayType,Confluence,Spread,Slippage,ConfirmationUsed,BarTime,EntryTime,EntryPrice,OriginalSL,CurrentSL,OriginalTP1,TP2,RiskPct,LotSize,RiskDistance,RequestedEntryPrice,ExecutedEntryPrice,EntryBalance,EntryRiskMoney,OriginalLots,RemainingLots,Stage,ExitRegimeClass,ExitBETrigger,ExitChandelier,ExitTP0Dist,ExitTP0Vol,ExitTP1Dist,ExitTP1Vol,ExitTP2Dist,ExitTP2Vol,ExitTime,ExitPrice,PnL_Money,PnL_R,HoldingHours,MAE,MFE,MAE_R,MFE_R,PartialCloseCount,PartialRealized_PnL,PartialRealized_R,TP0_Time,TP1_Time,TP1_Lots,TP1_PnL,TP2_Time,TP2_Lots,TP2_PnL,BE_Time,TrailInternalUpdates,TrailBrokerUpdates,TrailBrokerFailures,LastTrailTime,LastTrailReason,MaxLockedR,ExitRequestTime,ExitRequestReason,ExitRequestPrice,ExitReason,Result,Runner_PnL,Runner_R,TP0_PnL,TP0_R,Total_PnL,Total_R,WouldBeFlatWithoutTP0,Reached05R,Reached10R,PeakR_BeforeBE,BE_Before_TP1,TP0_Closed,TP0_Lots,EarlyExit,EarlyExitReason,LossAvoided_R,LossAvoided_Money,RunnerExitMode,RunnerPromotedInTrade,RunnerPromotionTime,TrailSendPolicy,LastTrailGateReason,EffectiveChandelierMult,LiveChandelierMult,EntryLockedChandelierMult,LastBrokerTrailTime
ENTRY,19,2025.01.28 03:00|PinBarEntry|SHORT|10,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,NO,2025.01.28 03:00,2025.01.28 03:00,2740.71,2748.71,2748.71,2730.31,2726.31,0.39,0.05,8.00,2740.71,2740.71,10217.85,40.23,0.05,0.05,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,19,2025.01.28 03:00|PinBarEntry|SHORT|10,Bearish Pin Bar,SHORT,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_B_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,NO,2025.01.28 03:00,2025.01.28 03:00,2740.71,2748.71,2748.71,2730.31,2726.31,0.39,0.05,8.00,2740.71,2740.71,10217.85,40.23,0.05,0.04,TP0_HIT,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2025.01.28 15:31,2748.71,-26.54,-0.66,12.5,7.97,5.85,1.00,0.73,1,5.58,0.14,2025.01.28 10:32,,0.00,0.00,,0.00,0.00,,0,0,0,,,0.00,,,0.00,,LOSS,-32.12,-0.80,5.58,0.14,-26.54,-0.66,NO,YES,NO,0.73,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
ENTRY,22,2025.01.29 16:00|PinBarEntry|LONG|11,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.29 17:00,2025.01.29 17:00,2759.39,2750.75,2750.75,2775.04,2785.47,0.84,0.09,8.64,2759.39,2759.39,10191.04,85.60,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,22,2025.01.29 16:00|PinBarEntry|LONG|11,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.29 17:00,2025.01.29 17:00,2759.39,2750.75,2750.75,2775.04,2785.47,0.84,0.09,8.64,2759.39,2759.39,10191.04,85.60,0.09,0.09,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2025.01.29 17:28,2750.73,-78.21,-0.91,0.5,8.53,0.32,0.99,0.04,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,0,0,0,,,0.00,,,0.00,,LOSS,-78.21,-0.91,0.00,0.00,-78.21,-0.91,NO,NO,NO,0.04,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
ENTRY,24,2025.01.30 02:00|PinBarEntry|LONG|12,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.30 03:00,2025.01.30 03:00,2762.19,2752.32,2752.32,2780.07,2791.99,0.84,0.08,9.87,2762.19,2762.19,10112.59,84.95,0.08,0.08,INITIAL,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.00,3.00,3.00,
EXIT,24,2025.01.30 02:00|PinBarEntry|LONG|12,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.30 03:00,2025.01.30 03:00,2762.19,2752.32,2752.32,2780.07,2791.99,0.84,0.08,9.87,2762.19,2762.19,10112.59,84.95,0.08,0.03,TP_HIT,1,1.00,3.00,0.70,15.00,1.30,40.00,1.80,30.00,2025.01.30 14:37,2780.16,117.20,1.38,11.6,3.41,17.85,0.35,1.81,3,63.38,0.75,2025.01.30 09:52,2025.01.30 10:53,0.03,38.70,2025.01.30 14:37,0.01,17.78,,0,0,0,,,0.00,,,0.00,,WIN,53.82,0.63,6.90,0.08,117.20,1.38,NO,YES,YES,1.81,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.00,
ENTRY,29,2025.01.30 17:00|PinBarEntry|LONG|13,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.30 18:00,2025.01.30 18:00,2795.46,2779.74,2779.74,2823.93,2842.91,0.84,0.05,15.72,2795.46,2795.46,10229.64,85.93,0.05,0.05,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,29,2025.01.30 17:00|PinBarEntry|LONG|13,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A_PLUS,NEWYORK,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.01.30 18:00,2025.01.30 18:00,2795.46,2779.74,2779.74,2823.93,2842.91,0.84,0.05,15.72,2795.46,2795.46,10229.64,85.93,0.05,0.04,TP0_HIT,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2025.01.31 20:00,2808.66,59.92,0.70,26.0,6.65,21.67,0.42,1.38,1,10.23,0.12,2025.01.31 14:36,,0.00,0.00,,0.00,0.00,,0,0,0,,,0.00,2025.01.31 20:00,Weekend closure,2808.66,Weekend closure,WIN,49.69,0.58,10.23,0.12,59.92,0.70,NO,YES,YES,1.38,NO,YES,0.01,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
ENTRY,32,2025.02.06 03:00|PinBarEntry|LONG|15,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.02.06 04:00,2025.02.06 04:00,2871.71,2861.88,2861.88,2894.86,2910.29,0.84,0.08,9.83,2871.71,2871.71,10289.32,86.43,0.08,0.08,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,,,,,,,,,0,0.00,0.00,,,,,,,,,0,0,0,,,0.00,,,,,,,,,,,,,NO,NO,0.00,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
EXIT,32,2025.02.06 03:00|PinBarEntry|LONG|15,Bullish Pin Bar (Confirmed),LONG,SIGNAL_SOURCE_PATTERN,TRENDING,SETUP_A,ASIA,PinBarEntry,MODE_NONE,DAY_TREND,0,7.00,0.00,YES,2025.02.06 04:00,2025.02.06 04:00,2871.71,2861.88,2861.88,2894.86,2910.29,0.84,0.08,9.83,2871.71,2871.71,10289.32,86.43,0.08,0.08,INITIAL,0,1.20,3.50,0.70,10.00,1.50,35.00,2.20,25.00,2025.02.06 08:49,2861.81,-79.44,-0.92,4.8,9.82,1.69,1.00,0.17,0,0.00,0.00,,,0.00,0.00,,0.00,0.00,,0,0,0,,,0.00,,,0.00,,LOSS,-79.44,-0.92,0.00,0.00,-79.44,-0.92,NO,NO,NO,0.17,NO,NO,0.00,NO,,0.00,0.00,RUNNER_EXIT_STANDARD,NO,,TRAIL_SEND_EVERY_UPDATE,,3.50,3.50,3.50,
