ticket,mask
2,0
7,0
14,0
15,0
26,0
27,0
29,0
30,0
46,0
57,0
59,0
61,0
78,0
80,0
91,0
93,0
97,0
102,0
118,0
120,0
121,0
130,0
135,0
139,0
144,0
146,0
149,0
150,0
157,0
159,0
160,0
163,0
168,0
169,0
170,0
180,0
187,0
192,0
194,0
200,0
204,0
210,0
214,0
221,0
223,0
225,0
232,0
233,0
250,0
251,0
254,0
264,0
265,0
270,0
272,0
275,0
282,0
283,0
293,0
296,0
298,0
300,0
305,0
306,0
311,0
324,0
325,0
335,0
339,0
345,0
352,4
355,0
362,4
364,5
366,0
370,0
375,0
376,0
379,0
381,0
382,0
385,0
387,1
394,1
400,0
410,0
413,0
424,0
427,0
431,0
432,0
435,0
441,0
447,0
448,0
451,0
453,0
456,0
464,0
479,0
488,0
495,0
497,0
498,0
505,0
509,0
512,0
513,0
613,0
625,0
629,0
652,0
655,0
660,0
665,0
679,0
683,0
692,0
699,0
734,0
736,0
785,0
786,0
788,0
791,0
796,0
799,0
807,0
817,0
822,0
827,0
829,0
832,0
857,0
865,0
867,0
870,0
872,0
874,0
875,0
889,0
891,0
892,0
896,0
901,0
903,0
908,0
917,0
920,0
926,0
931,0
933,0
941,0
943,0
950,0
956,0
961,0
966,0
977,0
979,0
981,0
1000,0
1085,0
1240,0
1270,0
1290,0
1297,0
1298,0
1361,0
1384,0
1385,0
1387,0
1388,0
1390,0
1399,0
1401,0
1405,0
1407,0
1414,0
1416,0
1430,0
1434,0
1436,0
1439,0
1442,0
1450,0
1451,0
1457,0
1458,0
1465,0
1468,0
1473,0
1477,0
1478,0
1479,0
1482,0
1509,0
1512,0
1514,0
1515,0
1544,0
1552,0
1554,0
1558,0
1559,0
1566,0
1570,0
1572,0
1573,0
1606,0
1675,0
1677,0
1690,0
1695,0
1697,0
1700,0
1707,0
1710,0
1713,0
1717,0
1719,0
1724,0
1731,0
1738,0
1740,0
1743,0
1745,0
1749,0
1754,0
1756,0
1758,0
1760,0
1763,0
1775,0
1778,0
1789,0
1796,0
1802,0
1807,0
1809,0
1811,0
1813,0
1818,0
1823,0
1824,0
1831,0
1833,0
1834,1
1843,0
1846,0
1850,0
1852,0
1856,0
1858,0
1862,0
1864,0
1865,0
1875,0
1876,0
1879,0
1880,0
1887,0
1892,0
1895,0
1906,0
1919,0
1922,0
1934,0
1938,0
1939,0
1945,1
1949,0
1950,0
1957,0
1959,0
1962,0
1964,0
1966,0
1983,0
1987,0
2001,0
2006,0
2008,0
2017,0
2021,0
2023,0
2036,0
2037,0
2044,0
2046,0
2049,0
2052,0
2054,0
2059,0
2065,0
2068,0
2072,0
2073,0
2075,0
2088,0
2090,0
2094,0
2097,0
2100,0
2102,0
2106,0
2108,0
2134,0
2136,0
2138,0
2149,0
2150,0
2152,0
2162,0
2173,0
2178,0
2181,0
2183,0
2189,0
2191,0
2196,0
2198,0
2200,0
2202,0
2211,0
2213,0
2214,0
2222,0
2224,0
2232,0
2237,0
2239,0
2241,0
2242,0
2247,0
2248,0
2253,0
2265,0
2266,0
2279,0
2281,0
2296,0
2298,0
2300,0
2302,0
2303,0
2309,0
2312,0
2319,0
2324,0
2328,0
2334,0
2337,0
2339,0
2340,0
2347,0
2353,0
2354,0
2357,0
2360,0
2362,0
2367,0
2368,0
2374,0
2375,0
2386,0
2387,0
2389,0
2396,0
2400,0
2404,0
2408,0
2417,0
2420,0
2441,0
2446,0
2460,0
2464,0
2495,0
2497,0
2500,0
2505,0
2508,0
2511,0
2512,0
2518,0
2520,0
2523,0
2526,0
2528,0
2534,0
2536,0
2541,0
2547,0
2550,0
2552,0
2557,0
2558,0
2567,0
2569,0
2571,0
2573,0
2580,0
2582,0
2588,0
2594,0
2596,0
2602,0
2603,0
2608,0
2611,0
2617,0
2619,0
2622,0
2626,0
2631,0
2633,0
2637,0
2640,0
2644,0
2647,0
2649,0
2652,0
2656,0
2667,0
2668,0
2671,0
2677,0
2679,0
2681,0
2684,0
2687,0
2691,0
2694,0
2701,0
2702,0
2703,0
2710,0
2713,0
2715,0
2719,0
2721,0
2725,0
2726,0
2753,0
